CODCURSO,NOMBRECURSO,DEPARTAMENTO,MATRICULADOS,PREMATRICULADOS,CICLO
EG0009,Proyecto Interdisciplinario III,Jefatura de Proyectos Académicos,84,84,2017 - 1
ME0028,Automatización de Sistemas,Departamento de Mecánica,20,20,2017 - 1
ME0004,Tesis en Ingeniería Mecánica II,Departamento de Mecánica,2,2,2017 - 1
QI3001,Química Orgánica,Departamento de Química,9,9,2017 - 1
ME0022,Dinámica,Departamento de Mecánica,23,23,2017 - 1
EN6004,Energía Solar y Eólica,Departamento de Energía,9,9,2017 - 1
IN6006,Teoría de Decisiones,Departamento de Industrial,8,8,2017 - 1
GH1002,Arte y Tecnología,Dirección de Humanidades Artes y Ciencias Sociales,43,43,2017 - 1
EN0028,Tesis en Ingeniería de la Energía II,Departamento de Energía,2,2,2017 - 1
EN0017,Operación e ingeniería de producción,Departamento de Energía,7,7,2017 - 1
QI0030,Procesos Químicos en la Industria,Departamento de Química,13,13,2017 - 1
EN0024,Marco Legal y Politica Energética,Departamento de Energía,5,5,2017 - 1
EN8004,Auditoría y Eficiencia Energética,Departamento de Energía,2,2,2017 - 1
IN0074,Diseño de Redes de Cadenas de Suministro,Departamento de Industrial,27,27,2017 - 2
IN0076,Gestión de Centros de Distribución y Transporte,Departamento de Industrial,17,17,2017 - 2
QI9005,Diseño de Procesos y Plantas,Departamento de Química,5,5,2017 - 2
IN4006,Metodologías de Innovación,Departamento de Industrial,55,55,2017 - 2
EL4002,Modelado y Simulación,Departamento de Electrónica,76,76,2017 - 2
GH0011,Innovación y Desarrollo de Productos,Dirección de Gestión,99,99,2017 - 2
IN5005,Costeo de Operaciones,Departamento de Industrial,24,24,2017 - 2
EL6006,Electrónica de Potencia,Departamento de Electrónica,9,9,2017 - 2
IN0081,Modelado y Simulación de Procesos de Negocio,Departamento de Industrial,35,35,2017 - 2
IN0078,Gestión de Inventarios,Departamento de Industrial,13,13,2017 - 2
MT0014,Control Inteligente,Departamento de Mecatrónica,13,13,2017 - 2
EN0028,Tesis en Ingeniería de la Energía II,Departamento de Energía,3,3,2017 - 2
EL0052,Sistemas Embebidos Interconectados,Departamento de Electrónica,8,8,2017 - 2
EN0031,Mercados e incentivos de Carbono,Departamento de Energía,6,6,2017 - 2
GH0019,Emprendedores en Acción,Dirección de Humanidades Artes y Ciencias Sociales,12,12,2017 - 2
EN5002,Ingeniería del Gas Natural,Departamento de Energía,4,4,2017 - 2
QI9004,Bioquímica,Departamento de Química,10,10,2017 - 2
EG0003,Matemáticas I,Departamento de Ciencias,30,30,2018 - 0
GH5001,Inglés IV,Dirección de Humanidades Artes y Ciencias Sociales,16,16,2018 - 0
EGN001,Ciencias 0,Jefatura de Procesos Académicos de Admisión,198,198,2018 - 0
GHN004,Laboratorio de Comunicación 0,Jefatura de Procesos Académicos de Admisión,164,164,2018 - 0
GH0015,Imagen y Marca Personal,Dirección de Humanidades Artes y Ciencias Sociales,36,36,2018 - 0
EGN001,Ciencias 0,Jefatura de Procesos Académicos de Admisión,197,5,2018 - 1
IN0082,Planeamiento de la Demanda,Departamento de Industrial,17,9,2018 - 1
ME0021,Termodinámica,Departamento de Ciencias,309,155,2018 - 1
IN0056,Investigación de Operaciones I: Modelos Determinísticos,Departamento de Industrial,90,71,2018 - 1
ME0023,Dibujo y Diseño para Ingeniería,Departamento de Mecánica,81,24,2018 - 1
IN0057,Seguridad y Salud Ocupacional,Departamento de Industrial,90,24,2018 - 1
GH0014,Culturas de Gobernanza y Distribución de Poder,Dirección de Humanidades Artes y Ciencias Sociales,64,42,2018 - 1
EL0045,Introducción a las Redes de Computadoras,Departamento de Electrónica,43,40,2018 - 1
EL7006,Instrumentación industrial,Departamento de Electrónica,13,11,2018 - 1
ME0026,Diseño de Sistemas Mecánicos,Departamento de Mecánica,28,29,2018 - 1
ME0008,Gestión de Equipos y Maquinarias,Departamento de Mecánica,20,12,2018 - 1
ME0011,Ingeniería de la Confiabilidad,Departamento de Mecánica,16,9,2018 - 1
CS1102,Programación orientada a objetos I,Departamento de Ciencias,159,5,2018 - 1
EL0069,Proyecto de ECE,Departamento de Electrónica,10,10,2018 - 1
IN0062,Diseño de Productos y Servicios,Departamento de Industrial,18,2,2018 - 1
EL6003,Control Automático,Departamento de Electrónica,18,16,2018 - 1
EL0070,Tesis en ECE I,Departamento de Electrónica,14,16,2018 - 1
QI9001,Tesis en Ingeniería Química I,Departamento de Química,5,2,2018 - 1
EL4002,Modelado y Simulación,Departamento de Electrónica,71,83,2018 - 1
EG0006,Matemáticas III,Departamento de Ciencias,292,116,2018 - 1
GH0006,Laboratorio de Comunicación 2,Dirección de Humanidades Artes y Ciencias Sociales,242,99,2018 - 1
CS1100,Introducción a la Ciencia de la Computación,Departamento de Ciencias,180,5,2018 - 2
GH1002,Arte y Tecnología,Dirección de Humanidades Artes y Ciencias Sociales,405,492,2018 - 2
EL4001,Circuitos Analógicos,Departamento de Electrónica,24,23,2018 - 2
GH0011,Innovación y Desarrollo de Productos,Dirección de Gestión,337,279,2018 - 2
AM0040,Ecosistemas y Paisajes,Departamento de Ingeniería Ambiental,22,18,2018 - 2
ME6006,Mecánica de Materiales,Departamento de Mecánica,46,31,2018 - 2
ME4003,Mecánica de Fluidos,Departamento de Mecánica,58,35,2018 - 2
EN0038,Energía Eólica,Departamento de Energía,15,14,2018 - 2
ME0028,Automatización de Sistemas,Departamento de Mecánica,45,45,2018 - 2
ME0021,Termodinámica,Departamento de Ciencias,208,103,2018 - 2
GH0015,Imagen y Marca Personal,Dirección de Humanidades Artes y Ciencias Sociales,171,163,2018 - 2
ME0036,Tópicos Selectos de Ingeniería Mecánica,Departamento de Mecánica,29,6,2018 - 2
IN4006,Metodologías de Innovación,Departamento de Industrial,25,22,2018 - 2
EL6005,Seminario de ECE,Departamento de Electrónica,30,28,2018 - 2
EN0023,Sistemas Electricos y Electrónicos de Potencia,Departamento de Energía,20,20,2018 - 2
MT0002,Sensores y Actuadores,Departamento de Mecatrónica,9,14,2018 - 2
QI7004,Cinética y diseño de reactores,Departamento de Química,9,8,2018 - 2
CS2701,Base de datos I,Departamento de Computer Science,38,31,2018 - 2
EN4003,Ingeniería del Petróleo,Departamento de Energía,10,13,2018 - 2
IN7005,Planeamiento y Control de Operaciones,Departamento de Industrial,18,8,2018 - 2
ME9002,Tesis en Ingeniería Mecánica I,Departamento de Mecánica,21,15,2018 - 2
IN0002,Tesis en Ingeniería Industrial II,Departamento de Industrial,15,13,2018 - 2
QI6006,Transferencia de masa,Departamento de Química,18,11,2018 - 2
QI0030,Procesos Químicos en la Industria,Departamento de Química,14,6,2018 - 2
AM0001,Introducción a la Ingeniería Ambiental,Departamento de Ingeniería Ambiental,32,42,2018 - 2
EN0027,Tesis en Ingenieria de la Energía I,Departamento de Energía,4,6,2018 - 2
EN0032,Termosolar y Offshore,Departamento de Energía,9,9,2018 - 2
EL0047,Comunicaciones Móviles e Inalámbricas,Departamento de Electrónica,7,3,2018 - 2
EN0027,Tesis en Ingenieria de la Energía I,Departamento de Energía,1,2,2018 - 1
QI7005,Termodinámica Química,Departamento de Química,14,14,2018 - 2
ME0004,Tesis en Ingeniería Mecánica II,Departamento de Mecánica,4,3,2018 - 2
EN0028,Tesis en Ingeniería de la Energía II,Departamento de Energía,1,2,2018 - 2
EG0009,Proyecto Interdisciplinario III,Jefatura de Proyectos Académicos,95,109,2018 - 2
EG0008,Proyecto Interdisciplinario II,Jefatura de Proyectos Académicos,245,215,2018 - 2
EN0021,Física II,Departamento de Ciencias,66,66,2019 - 0
ME0023,Dibujo y Diseño para Ingeniería,Departamento de Mecánica,45,45,2019 - 0
GH0025,English for STEAM,Dirección de Humanidades Artes y Ciencias Sociales,39,39,2019 - 0
QI0027,Química General,Departamento de Ciencias,17,17,2019 - 0
AM0037,Ciencia de los Materiales,Departamento de Ciencias,24,24,2019 - 0
GHN004,Laboratorio de Comunicación 0,Jefatura de Procesos Académicos de Admisión,240,5,2019 - 1
IN0065,Simulación de Operaciones,Departamento de Industrial,45,10,2019 - 1
IN0067,Sistemas de Información para Operaciones,Departamento de Industrial,12,2,2019 - 1
GH0008,Gestión de Empresas,Dirección de Gestión,294,270,2019 - 1
GH0007,Introducción al Desarrollo de Empresas,Dirección de Gestión,278,191,2019 - 1
EN0027,Tesis en Ingenieria de la Energía I,Departamento de Energía,10,10,2019 - 1
ME0003,Seguridad en operaciones mineras,Departamento de Mecánica,19,19,2019 - 1
GH0014,Culturas de Gobernanza y Distribución de Poder,Dirección de Humanidades Artes y Ciencias Sociales,166,134,2019 - 1
EN0025,Planificación y Economía de la Energía,Departamento de Energía,21,15,2019 - 1
GH0017,Introducción al Quechua,Dirección de Humanidades Artes y Ciencias Sociales,59,52,2019 - 1
QI0001,Tesis en Ingeniería Química II,Departamento de Química,4,5,2019 - 1
QI0040,Diseño de Reactores Químicos I,Departamento de Química,19,6,2019 - 1
CS2701,Base de datos I,Departamento de Computer Science,27,19,2019 - 1
ME3003,Estática,Departamento de Mecánica,83,57,2019 - 1
CS2901,Ingeniería de Software I,Departamento de Computer Science,28,24,2019 - 1
GH0024,Crítica de la Modernidad,Dirección de Humanidades Artes y Ciencias Sociales,25,21,2019 - 1
EL6003,Control Automático,Departamento de Electrónica,43,22,2019 - 1
IN0063,Lean Thinking,Departamento de Industrial,15,11,2019 - 1
ME0035,Seminario de proyecto pre profesional,Departamento de Mecánica,6,6,2019 - 1
EL4001,Circuitos Analógicos,Departamento de Electrónica,11,10,2019 - 1
IN0002,Tesis en Ingeniería Industrial II,Departamento de Industrial,33,24,2019 - 2
GH1002,Arte y Tecnología,Dirección de Humanidades Artes y Ciencias Sociales,270,174,2019 - 2
EN0029,Eficiencia Energética Térmica,Departamento de Energía,13,13,2019 - 2
EN8004,Auditoría y Eficiencia Energética,Departamento de Energía,22,19,2019 - 2
CS1D01,Estructuras Discretas I,Departamento de Computer Science,44,1,2019 - 2
ME0028,Automatización de Sistemas,Departamento de Mecánica,35,37,2019 - 2
GH0032,Startup Lab,Dirección de Gestión,29,19,2019 - 2
IN0060,Planeamiento y Control de Operaciones,Departamento de Industrial,80,55,2019 - 2
ME0037,Ingeniería de Materiales,Departamento de Mecánica,22,16,2019 - 2
IN0061,Investigación de Operaciones II: Modelos Probabilísticos,Departamento de Industrial,75,44,2019 - 2
AM0001,Introducción a la Ingeniería Ambiental,Departamento de Ingeniería Ambiental,68,34,2019 - 2
EL0007,Procesamiento de Imágenes Digitales,Departamento de Electrónica,14,11,2019 - 2
BI0022,Nanotecnología,Departamento de Bioingeniería,7,8,2019 - 2
EL5002,Análisis de Señales y Sistemas,Departamento de Electrónica,67,61,2019 - 2
AM0012,"Atmosfera, oceano y dinamica climatica",Departamento de Ingeniería Ambiental,19,15,2019 - 2
AM0038,Hidrología,Departamento de Ingeniería Ambiental,7,6,2019 - 2
EN0022,Hidroenergía,Departamento de Energía,26,20,2019 - 2
QI0017,Procesos Piro Electrometalúrgicos,Departamento de Química,2,5,2019 - 1
ME0034,Tecnología de los Materiales Aplicada,Departamento de Mecánica,12,7,2019 - 2
CS2702,Base de datos II,Departamento de Computer Science,13,14,2019 - 2
EN0038,Energía Eólica,Departamento de Energía,12,9,2019 - 2
GH0015,Imagen y Marca Personal,Dirección de Humanidades Artes y Ciencias Sociales,60,60,2020 - 0
GH0014,Culturas de Gobernanza y Distribución de Poder,Dirección de Humanidades Artes y Ciencias Sociales,45,45,2020 - 0
QI6005,Transferencia de calor,Departamento de Química,24,24,2020 - 0
EG0006,Matemáticas III,Departamento de Ciencias,63,63,2020 - 0
IN0062,Diseño de Productos y Servicios,Departamento de Industrial,13,13,2020 - 0
EG0003,Matemáticas I,Departamento de Ciencias,745,151,2020 - 1
GH0015,Imagen y Marca Personal,Dirección de Humanidades Artes y Ciencias Sociales,178,141,2020 - 1
EL4002,Modelado y Simulación,Departamento de Electrónica,114,107,2020 - 1
EN7003,Máquinas Térmicas,Departamento de Energía,38,23,2020 - 1
MT0002,Sensores y Actuadores,Departamento de Mecatrónica,36,39,2020 - 1
QI0033,Análisis Químico para Ingeniería,Departamento de Química,10,8,2020 - 1
ME9002,Tesis en Ingeniería Mecánica I,Departamento de Mecánica,25,22,2020 - 1
EN0030,Biomasa y Geotermia,Departamento de Energía,20,15,2020 - 1
GH0014,Culturas de Gobernanza y Distribución de Poder,Dirección de Humanidades Artes y Ciencias Sociales,220,165,2020 - 1
BI0036,Ciencia y Cocina,Departamento de Bioingeniería,24,24,2020 - 1
IN9001,Tesis en Ingeniería Industrial I,Departamento de Industrial,24,16,2020 - 1
GH0024,Crítica de la Modernidad,Dirección de Humanidades Artes y Ciencias Sociales,112,98,2020 - 1
EL8005,Redes industriales,Departamento de Electrónica,9,2,2020 - 1
ME3003,Estática,Departamento de Mecánica,66,39,2020 - 1
EN5002,Ingeniería del Gas Natural,Departamento de Energía,24,21,2020 - 1
IN0062,Diseño de Productos y Servicios,Departamento de Industrial,22,24,2020 - 1
IN0054,Estadística y Probabilidades,Departamento de Ciencias,203,179,2020 - 1
AM0010,Geologia General,Departamento de Ingeniería Ambiental,16,10,2020 - 1
GH0008,Gestión de Empresas,Dirección de Gestión,188,153,2020 - 1
ME0037,Ingeniería de Materiales,Departamento de Mecánica,21,15,2020 - 1
BI0024,Biodiseño,Departamento de Bioingeniería,5,5,2020 - 1
CS2201,Arquitectura de computadoras,Departamento de Computer Science,58,30,2020 - 1
EL6003,Control Automático,Departamento de Electrónica,47,24,2020 - 1
CS2B01,Desarrollo basado en plataformas,Departamento de Computer Science,58,30,2020 - 1
CS3101,Programación Competitiva,Departamento de Computer Science,3,9,2020 - 1
QI0008,Concentración de Minerales,Departamento de Química,10,10,2020 - 1
IN0002,Tesis en Ingeniería Industrial II,Departamento de Industrial,38,32,2020 - 2
ME0035,Seminario de proyecto pre profesional,Departamento de Mecánica,18,17,2020 - 2
IN0056,Investigación de Operaciones I: Modelos Determinísticos,Departamento de Industrial,77,56,2020 - 2
EL6004,Introducción a Sistemas Embebidos,Departamento de Electrónica,40,40,2020 - 2
MT0017,Tópicos de Ingeniería Mecatrónica,Departamento de Mecatrónica,22,10,2020 - 2
AM0001,Introducción a la Ingeniería Ambiental,Departamento de Ingeniería Ambiental,54,40,2020 - 2
MT0006,Fundamentos de Robótica,Departamento de Mecatrónica,33,33,2020 - 2
EG0008,Proyecto Interdisciplinario II,Jefatura de Proyectos Académicos,245,189,2020 - 2
AM0037,Ciencia de los Materiales,Departamento de Ciencias,318,299,2020 - 2
EG0005,Matemáticas II,Departamento de Ciencias,445,410,2020 - 2
AM0015,Desarrollo sustentable,Departamento de Ingeniería Ambiental,35,31,2020 - 2
ME0014,Mineralurgía,Departamento de Mecánica,14,13,2020 - 2
MT0001,Mecanismos y Transmisión de Movimiento,Departamento de Mecatrónica,28,24,2020 - 2
CS1103,Programación orientada a objetos II,Departamento de Computer Science,68,53,2020 - 2
BI0016,Robótica médica,Departamento de Bioingeniería,5,14,2020 - 2
ME4003,Mecánica de Fluidos,Departamento de Mecánica,80,65,2020 - 2
ME6006,Mecánica de Materiales,Departamento de Mecánica,106,86,2020 - 2
CS2601,Inteligencia Artificial,Departamento de Computer Science,16,15,2020 - 2
EN0022,Hidroenergía,Departamento de Energía,16,11,2020 - 2
BI0005,Biotransporte,Departamento de Bioingeniería,21,23,2020 - 2
BI0001,Química Orgánica,Departamento de Bioingeniería,29,13,2020 - 2
QI0042,Operaciones de Separación Físico-Mecánicas,Departamento de Química,13,9,2020 - 2
EN0015,Ingeniería de reservorios,Departamento de Energía,10,15,2020 - 2
IN5005,Costeo de Operaciones,Departamento de Industrial,22,17,2020 - 2
CS2701,Base de datos I,Departamento de Computer Science,52,49,2020 - 2
CI0004,Geomática,Departamento de Civil,15,13,2020 - 2
EN3004,Ingeniería Eléctrica,Departamento de Energía,7,3,2020 - 2
IN0090,Ingeniería Financiera,Departamento de Industrial,19,21,2021 - 0
BI0025,Bioinformática y Bioestadística,Departamento de Bioingeniería,20,21,2021 - 0
EG0009,Proyecto Interdisciplinario III,Jefatura de Proyectos Académicos,198,206,2021 - 1
BI0025,Bioinformática y Bioestadística,Departamento de Bioingeniería,22,24,2021 - 1
EG0008,Proyecto Interdisciplinario II,Jefatura de Proyectos Académicos,240,203,2021 - 1
IN0059,Diseño de Experimentos y Control Estadístico de Procesos,Departamento de Industrial,29,17,2021 - 1
IN0057,Seguridad y Salud Ocupacional,Departamento de Industrial,150,134,2021 - 1
GH1002,Arte y Tecnología,Dirección de Humanidades Artes y Ciencias Sociales,261,178,2021 - 1
GH0006,Laboratorio de Comunicación 2,Dirección de Humanidades Artes y Ciencias Sociales,278,177,2021 - 1
GH0016,Liderazgo y negociación,Dirección de Gestión,128,132,2021 - 1
BI0005,Biotransporte,Departamento de Bioingeniería,26,27,2021 - 1
CI0008,Tecnología de los Materiales de Construcción,Departamento de Civil,28,18,2021 - 1
CI0013,Planeamiento de Proyectos de Construcción,Departamento de Civil,24,23,2021 - 1
ME1011,Introducción a la Ingeniería Mecánica,Departamento de Mecánica,37,1,2021 - 1
CS1103,Programación orientada a objetos II,Departamento de Computer Science,68,49,2021 - 1
EN5002,Ingeniería del Gas Natural,Departamento de Energía,10,11,2021 - 1
ME0028,Automatización de Sistemas,Departamento de Mecánica,52,42,2021 - 1
IN0074,Diseño de Redes de Cadenas de Suministro,Departamento de Industrial,15,15,2021 - 1
AM0004,Ecología y Recursos Naturales,Departamento de Ingeniería Ambiental,44,35,2021 - 1
QI0042,Operaciones de Separación Físico-Mecánicas,Departamento de Química,11,8,2021 - 1
EL0083,Tópicos de Sistemas Computacionales,Departamento de Electrónica,24,22,2021 - 1
QI0037,Diseño de Procesos Químicos,Departamento de Química,13,14,2021 - 1
MT0008,Diseño de sistemas mecatrónicos,Departamento de Mecatrónica,10,7,2021 - 1
EL1011,Introducción a la Ingeniería Electrónica,Departamento de Electrónica,32,32,2021 - 1
CS3903,Sistemas de Información,Departamento de Computer Science,26,24,2021 - 1
CS2102,Análisis y Diseño de Algoritmos-ADA,Departamento de Computer Science,38,30,2021 - 1
IN9001,Tesis en Ingeniería Industrial I,Departamento de Industrial,13,10,2021 - 1
BI0020,Procesos de Biotecnología II,Departamento de Bioingeniería,7,8,2021 - 1
CS2501,Computación Gráfica,Departamento de Computer Science,3,3,2021 - 1
BI0002,Biología Celular y Molecular,Departamento de Bioingeniería,30,28,2021 - 1
CI0009,Resistencia de Materiales II,Departamento de Civil,10,9,2021 - 1
EN4003,Ingeniería del Petróleo,Departamento de Energía,15,10,2021 - 1
GH0033,Discapacidad: Los Retos de la Inclusión,Dirección de Humanidades Artes y Ciencias Sociales,23,17,2021 - 1
BI0003,Fundamentos de Bioingeniería,Departamento de Bioingeniería,30,21,2021 - 1
CI0007,Geodesia Satelital y Fotogrametría,Departamento de Civil,12,8,2021 - 1
QI0031,Química Orgánica Aplicada,Departamento de Química,11,9,2021 - 1
EG0013,Proyecto Preprofesional,Jefatura de Proyectos Académicos,122,122,2021 - 1
EG2003,Comunicación Oral y Escrita II,Dirección de Humanidades Artes y Ciencias Sociales,25,25,2014 - 0
IN4001,Análisis y Diseño del Trabajo,Departamento de Industrial,9,9,2014 - 0
EG2004,Inglés I,Dirección de Humanidades Artes y Ciencias Sociales,9,9,2014 - 0
ME5002,Resistencia de materiales ,Departamento de Mecánica,10,10,2014 - 1
QI1002,Transformaciones Químicas de la Materia,Departamento de Química,34,34,2014 - 1
EG2002,Física II,Dirección de Ciencias,29,29,2014 - 1
EL4002,Modelado y Simulación,Departamento de Electrónica,14,14,2014 - 1
EN5001,Máquinas Eléctricas ,Departamento de Energía,10,10,2014 - 1
QI4001,Fisicoquímica,Departamento de Química,4,4,2014 - 1
